Gene Models (IDs)  ,Gene Name or Symbol,Ring ,Ring-R,Trophozoite,Trophozoite-R ,Schizont,Schizont-R,Product
PBANKA_010070,,687.6,1175.8,603.8,453.2,562.2,352.2,"Plasmodium exported protein, unknown function"
PBANKA_011260,,149.2,337.3,233.3,277.5,83.5,118.6,fam-b protein
PBANKA_020150,,512.8,848.5,524.4,576.9,318.5,418.9,"Plasmodium exported protein, unknown function"
PBANKA_020690,,69.4,101.8,83.3,93,4.5,9.9,"pre-rRNA-processing protein TSR2, putative"
PBANKA_021460,,79.7,175.3,73.3,86.9,61.7,35,"Plasmodium exported protein, unknown function"
PBANKA_021470,,348.5,663.2,511,551.5,539.4,557.3,"Plasmodium exported protein, unknown function"
PBANKA_030480,SERA4,64,50.6,49.3,39.1,375.5,549.1,serine repeat antigen 4
PBANKA_040540,RPS12,2544.9,2501,2147.1,2377.6,459.7,608.8,"40S ribosomal protein S12, putative"
PBANKA_040550,,2187.1,2448.4,1082.7,1393.8,271.7,468.1,"60S ribosomal protein L7, putative"
PBANKA_040920,,22.9,28.5,42.5,47.9,27.7,30.7,"valine--tRNA ligase, putative"
PBANKA_050220,RPN5,48.5,50.3,264.8,286.6,81,124.2,"26s proteasome subunit p55, putative"
PBANKA_050900,EXP3,216.8,330.8,350.1,421.7,90.7,136.7,"conserved Plasmodium protein, unknown function"
PBANKA_051450,RPN9,107.6,131.5,238.8,289.1,110.4,153.2,"26S proteasome regulatory subunit, putative"
PBANKA_051700,ETRAMP10.2,1475.9,3006,1595.8,1652.5,823,584.1,early transcribed membrane protein
PBANKA_051860,,11.7,5.2,40.7,49.3,4,4.6,"conserved Plasmodium protein, unknown function"
PBANKA_051870,,133.3,275.2,126.7,152.9,47.4,76,"methionine--tRNA ligase, putative"
PBANKA_052360,,89.4,46.1,141.5,164.5,108.9,97.1,"BSD-domain protein, putative"
PBANKA_060270,NAPL,324.7,225.3,680.9,757.5,251.1,351.2,"nucleosome assembly protein 1, putative"
PBANKA_061540,,110.5,157.6,152.1,165.8,49.3,64.3,"serine--tRNA ligase, putative"
PBANKA_061710,,2049.9,1855,1381.9,1389,379.8,421.5,"60S ribosomal protein L11a, putative"
PBANKA_061720,RPS10,2475.5,2823.1,1995,1494.1,440,489.9,"40S ribosomal protein S10, putative"
PBANKA_062270,,226.1,153.3,302.9,235.1,280.5,193.4,"mago nashi protein homologue, putative"
PBANKA_062340,,47.2,91.1,17.4,15.5,206.7,149.1,fam-a protein
PBANKA_070060,,502.5,1014.7,220.5,270.5,35.1,37.4,"Plasmodium exported protein, unknown function"
PBANKA_070070,,419.3,744.7,211.7,246.3,67.9,78,"Plasmodium exported protein, unknown function"
PBANKA_070880,,44.4,45.8,66.2,100.5,40.4,69.9,"mitochondrial ribosomal protein L4 precursor,putative"
PBANKA_071260,14-3-3I,580.4,357.8,1920.8,1516.4,1499,1469.5,"14-3-3 protein, putative"
PBANKA_071550,PGM2,39.9,20.5,124.8,83.9,221.1,177.5,phosphoglucomutase-2
PBANKA_080400,RPL37,2992.5,3886.2,2014,1749.2,611.4,715.7,"ribosomal protein, L37e, putative"
PBANKA_080410,,248.7,604.3,222.2,401.4,62.6,107.6,"conserved Plasmodium protein, unknown function"
PBANKA_080550,,15.1,16.7,37,47.1,11.2,12.3,"conserved Plasmodium protein, unknown function"
PBANKA_082170,,155.3,239.7,215.4,259,40.8,65.5,"inosine-5'-monophosphate dehydrogenase, putative"
PBANKA_082340,PGK,785.3,802.9,1111.9,1270.6,178.8,256.1,"phosphoglycerate kinase, putative"
PBANKA_083310,M18AAP,89.7,60,187.3,174.4,41.5,34.4,"aspartyl aminopeptidase, putative"
PBANKA_091520,,30,44,16.8,11.9,220.3,340.7,"conserved Plasmodium protein, unknown function"
PBANKA_092660,GCN20,28.8,42.9,63,71,28.8,30,"protein GCN20, putative"
PBANKA_092810,PGM1,734.6,550.9,1451.9,1285.2,130.7,226.7,"phosphoglycerate mutase, putative"
PBANKA_093220,,187.6,76.9,1503.4,985.2,567.4,734.4,"peptidyl-prolyl cis-trans isomerase, putative"
PBANKA_093240,BP2,374.1,418.6,923.5,967.6,87.3,132.2,berghepain-2
PBANKA_093840,ERC,271.9,127,1415,1159.4,787.5,1033.2,"endoplasmic reticulum-resident calcium bindingprotein, putative"
PBANKA_094150,RPS4,1320.6,1395.6,995.8,1033.3,293.6,412.6,"40S ribosomal protein S4, putative"
PBANKA_094220,RPC25,102.6,101.7,201.9,245.7,24.2,27.3,"RNA polymerase subunit, putative"
PBANKA_094360,,3672.5,3364.2,3038,3053.1,695.2,1013.7,"60S acidic ribosomal protein P1, putative"
PBANKA_100140,CLF1,74.7,136,88,104.5,77,80.1,"splicing factor, putative"
PBANKA_100470,,19.8,26,39.1,35.9,47.3,41.1,"methyltransferase, putative"
PBANKA_101670,,642.3,306.5,1241.7,1489.1,966.2,1591.5,"conserved Plasmodium protein, unknown function"
PBANKA_102200,,3154.8,1706,2528.6,1619.4,746.6,575.4,"40S ribosomal protein S25, putative"
PBANKA_102350,EIF3H,350.3,433,391.7,419.6,73,89.7,"conserved Plasmodium protein, unknown function"
PBANKA_103190,eIF2gamma,377,528.1,333.6,386.4,89.6,114.5,"eukaryotic translation initiation factor 2 gammasubunit, putative"
PBANKA_103560,ClpC,17.5,55,57.7,68,16.4,19.4,"ATP-dependent Clp protease, putative"
PBANKA_110220,MSP8,1654.5,1975.4,1230.3,1429.1,594.1,519,merozoite surface protein 8
PBANKA_110730,NPL4,28,37.1,76.2,79.6,27.9,34.4,"nuclear protein localization protein 4, putative"
PBANKA_111300,PNP,1752.7,953.7,2262.1,3199.6,317.5,162.9,"purine nucleoside phosphorylase, putative"
PBANKA_111350,RAB1a,106.2,47.6,261.2,246.5,168,175.5,"Rab1a, putative"
PBANKA_112220,,25.8,19.2,48.7,39.7,107.5,116.1,"EGF-like membrane protein, putative"
PBANKA_112570,,20.3,16.6,109.1,106.9,53.2,73.2,"mitochondrial ribosomal protein L46 precursor,putative"
PBANKA_112780,,65.5,56,169.5,189.3,85.8,114.8,"DnaJ protein, putative"
PBANKA_113420,,17.8,7.4,161.2,172.5,16,24.1,"pyrroline-5-carboxylate reductase, putative"
PBANKA_114580,MAHRP1a,2888.2,4536.7,2452.3,2034.2,532.4,680.5,"conserved rodent malaria protein, unknownfunction"
PBANKA_120300,,10.5,12,38.7,32.2,17.1,23.6,"conserved Plasmodium protein, unknown function"
PBANKA_120660,,181.4,85.3,421.1,380.1,254.3,292.1,"26S proteasome regulatory subunit 4, putative"
PBANKA_120690,,189.1,131.8,695.3,542.4,814.3,819.6,"tubulin beta chain, putative"
PBANKA_121080,HGPRT,3168.5,518.4,3825.6,6413.7,394.1,242.9,"hypoxanthine-guanine phosphoribosyltransferase,putative"
PBANKA_121120,,25.8,26.7,74.2,85.3,11.2,12.9,"conserved Plasmodium protein, unknown function"
PBANKA_121650,CYP19A,1661.2,1407.6,4018.2,2860.6,572.4,602.4,"peptidyl-prolyl cis-trans isomerase, putative"
PBANKA_121890,EF-1delta,366.1,264.9,663.1,539.9,207.8,208.4,"elongation factor 1 (EF-1), putative"
PBANKA_122090,,115.9,67.2,108,134.2,36.6,22.2,"conserved Plasmodium protein, unknown function"
PBANKA_122580,CYP24,106.8,122.9,132.9,113.7,152.4,143.6,"peptidyl-prolyl cis-trans isomerase, putative"
PBANKA_123480,RPS9,2076.8,1852.9,1436.9,1179.2,404.4,381.3,"40S ribosomal protein S9, putative"
PBANKA_123880,,514,900.9,520.2,651.6,123.5,200.7,"karyopherin beta, putative"
PBANKA_124190,UBC13,153.4,129.7,562.7,410.2,218.1,174.9,"ubiquitin-conjugating enzyme E2 N, putative"
PBANKA_130130,CITH,41.4,42.6,114.6,141.3,102.6,127.2,"trailer hitch homolog, putative"
PBANKA_130380,TIM,412.9,195.7,914.1,800.8,132.2,153.7,"triose-phosphate isomerase, putative"
PBANKA_130530,FACT-S,55,42.7,169.7,179.4,104.3,134.9,"FACT complex subunit SSRP1, putative"
PBANKA_131040,CEN2,128.8,60.2,159.9,93.7,1018.9,652.2,"centrin, putative"
PBANKA_132070,SPP,346.6,194.1,283.7,269.2,1102.7,1110.4,"signal peptide peptidase, putative"
PBANKA_132630,CYT1,74.2,34.3,121.6,91.5,216.6,174.2,"cytochrome c1 precursor, putative"
PBANKA_132930,,1628.8,1660.8,1200.2,1339.2,300.7,404.4,"40S ribosomal protein S3, putative"
PBANKA_133210,,71.2,146.7,103.4,144.6,54.2,83.5,"conserved Plasmodium protein, unknown function"
PBANKA_133430,EXP2,1200.9,1657.2,941.3,1360.2,426.1,290.1,"exported protein 2, putative"
PBANKA_133830,,1013.9,1450.9,1051,837.4,315.6,314.2,"60S ribosomal protein L6, putative"
PBANKA_134000,DHFS-FPGS,21.8,7.2,107.7,106.5,8.8,12.2,"dihydrofolate synthase/folylpolyglutamatesynthase, putative"
PBANKA_134030,,203,247.1,186.4,207.3,16.6,17.1,"phosphoribosylpyrophosphate synthetase, putative"
PBANKA_134770,,45.6,92,67.6,90.6,20.5,23.2,"isoleucine--tRNA ligase, putative"
PBANKA_134780,CPN20,148.4,153.3,167.9,174.8,43.8,53.5,"20 kDa chaperonin, putative"
PBANKA_134920,MSRP1,767.1,1102.7,688.7,644.4,650.5,796.9,MSP7-like protein
PBANKA_135450,,1181.9,2052.9,1198.1,985.9,289.4,298.7,"60S ribosomal protein L18-2, putative"
PBANKA_135900,SEC61A,443.9,538.3,491.7,560.8,810.5,1314.5,"protein transport protein SEC61 subunit alpha,putative"
PBANKA_136010,NT1,529.9,474.5,767.6,896.2,110.5,111.9,nucleoside transporter 1
PBANKA_136050,ECT,196.1,179.9,109.6,124.6,279.5,250.7,ethanolamine-phosphate cytidylyltransferase
PBANKA_136450,,225.6,165.7,248.3,203.7,127.2,42.1,"conserved Plasmodium protein, unknown function"
PBANKA_140140,,33.1,49.2,52.7,56.3,12.3,13.3,"conserved Plasmodium protein, unknown function"
PBANKA_141580,,106.5,102.1,116.6,133.4,23.1,26.3,"conserved Plasmodium protein, unknown function"
PBANKA_141590,,281.8,251.3,237.1,320.7,29.4,41.3,"conserved Plasmodium protein, unknown function"
PBANKA_141750,,18.5,20.8,150.9,214,29.8,34.2,"conserved Plasmodium protein, unknown function"
PBANKA_141910,,85.7,69,232.8,246.1,68.8,66.9,"dihydrolipoyllysine-residue succinyltransferasecomponent of 2-oxoglutarate dehydrogenase complex,putative"
PBANKA_142550,,31.9,42,73.6,101.3,15.2,15.4,"conserved Plasmodium protein, unknown function"
PBANKA_143070,,207.9,193.7,169.4,199.9,847.9,657.6,"conserved Plasmodium protein, unknown function"
PBANKA_143105,CPN10,402.4,321.6,1201.7,1268.7,169.9,96.4,"10 kDa chaperonin, putative"
PBANKA_143860,VIT,37.4,29.8,203.8,253.2,69.6,108.2,"conserved Plasmodium protein, unknown function"
PBANKA_144330,,308.7,234.8,6.7,3.8,2165.8,2782.5,"merozoite surface protein 9, putative"
PBANKA_144400,MIF,462.4,321.6,2078.5,1309.2,474.7,357.5,macrophage migration inhibitory factor
PBANKA_145610,,4327.6,4973.3,2402.8,2852.3,756.4,1212.1,"40S ribosomal protein S17, putative"
